,,,,,,,,,,
,,,,,,,,,,
Course,R.Y,Members R. retention,R.Graduates,R.Dropout,Retention Rate,Cmlt Graduation,Cmlt Dropout,A.Graduation Rate,A.Dropout Rate,Pandemic
ENGENHARIA DE PRODUÇÃO,2021,46,0,1,"76,7","1,7","21,7","0,0","1,7","1,0"
ENGENHARIA DE PRODUÇÃO,2022,37,5,3,"62,7","10,2","27,1","8,5","5,1","1,0"
ENGENHARIA AMBIENTAL,2018,51,0,3,"94,4","0,0","5,6","0,0","5,6","0,0"
ENGENHARIA AMBIENTAL,2019,39,1,11,"72,2","1,9","25,9","1,9","20,4","0,0"
ENGENHARIA AMBIENTAL,2020,34,0,5,"63,0","1,9","35,2","0,0","9,3","1,0"
ENGENHARIA AMBIENTAL,2021,26,1,7,"48,1","3,7","48,1","1,9","13,0","1,0"
ENGENHARIA AMBIENTAL,2022,17,2,7,"31,5","7,4","61,1","3,7","13,0","1,0"
ENGENHARIA ELÉTRICA,2018,51,0,3,"94,4","0,0","5,6","0,0","5,6","0,0"
ENGENHARIA ELÉTRICA,2019,46,0,5,"85,2","0,0","14,8","0,0","9,3","0,0"
ENGENHARIA ELÉTRICA,2020,41,0,5,"75,9","0,0","24,1","0,0","9,3","1,0"
ENGENHARIA ELÉTRICA,2021,37,1,3,"68,5","1,9","29,6","1,9","5,6","1,0"
ENGENHARIA ELÉTRICA,2022,26,7,4,"48,1","14,8","37,0","13,0","7,4","1,0"
ENGENHARIA MECÂNICA,2018,50,0,1,"98,0","0,0","2,0","0,0","2,0","0,0"
ENGENHARIA MECÂNICA,2019,44,0,6,"86,3","0,0","13,7","0,0","11,8","0,0"
ENGENHARIA MECÂNICA,2020,37,0,7,"72,5","0,0","27,5","0,0","13,7","1,0"
ENGENHARIA MECÂNICA,2021,34,2,1,"66,7","3,9","29,4","3,9","2,0","1,0"
ENGENHARIA MECÂNICA,2022,26,2,5,"52,0","8,0","40,0","4,0","10,0","1,0"
ENGENHARIA DE PRODUÇÃO,2018,64,0,4,"94,1","0,0","5,9","0,0","5,9","0,0"
ENGENHARIA DE PRODUÇÃO,2019,51,0,13,"75,0","0,0","25,0","0,0","19,1","0,0"
ENGENHARIA DE PRODUÇÃO,2020,36,0,15,"52,9","0,0","47,1","0,0","22,1","1,0"
ENGENHARIA DE PRODUÇÃO,2021,26,2,8,"38,2","2,9","58,8","2,9","11,8","1,0"
ENGENHARIA DE PRODUÇÃO,2022,17,6,3,"25,0","11,8","63,2","8,8","4,4","1,0"
ENGENHARIA CIVIL,2018,56,0,6,"90,3","0,0","9,7","0,0","9,7","0,0"
ENGENHARIA CIVIL,2019,45,0,11,"72,6","0,0","27,4","0,0","17,7","0,0"
ENGENHARIA CIVIL,2020,41,0,4,"66,1","0,0","33,9","0,0","6,5","1,0"
ENGENHARIA CIVIL,2021,35,1,5,"56,5","1,6","41,9","1,6","8,1","1,0"
ENGENHARIA CIVIL,2022,30,0,5,"48,4","1,6","50,0","0,0","8,1","1,0"
ENGENHARIA CIVIL,2018,68,0,1,"98,6","0,0","1,4","0,0","1,4","0,0"
ENGENHARIA CIVIL,2019,66,0,2,"95,7","0,0","4,3","0,0","2,9","0,0"
ENGENHARIA CIVIL,2020,64,0,2,"92,8","0,0","7,2","0,0","2,9","1,0"
